City1,City2,Month,Passenger_Trips,Aircraft_Trips,Route_Distance,Seats
CAIRNS,SYDNEY,Aug-84,135,2,1971,204
CANBERRA,MELBOURNE,Aug-84,30166,407,470,49779
CANBERRA,SYDNEY,Aug-84,46224,637,236,69825
COFFS HARBOUR,SYDNEY,Aug-84,5715,142,443,7243
DARWIN,SYDNEY,Aug-84,161,1,3155,211
DEVONPORT,MELBOURNE,Aug-84,4821,185,412,8062
DUBBO,SYDNEY,Aug-84,5685,136,310,7693
GOLD COAST,SYDNEY,Aug-84,33807,416,680,47750
HOBART,MELBOURNE,Aug-84,23231,331,618,32766
KALGOORLIE,PERTH,Aug-84,6485,245,538,10649
KARRATHA,PERTH,Aug-84,8586,166,1250,10759
LAUNCESTON,MELBOURNE,Aug-84,28023,565,476,38921
MELBOURNE,BURNIE,Aug-84,6002,230,378,9497
MELBOURNE,GOLD COAST,Aug-84,26810,227,1330,33017
MELBOURNE,MILDURA,Aug-84,3005,312,457,8013
MELBOURNE,PERTH,Aug-84,24727,252,2706,32621
MELBOURNE,SYDNEY,Aug-84,173440,1492,706,237264
PERTH,SYDNEY,Aug-84,15350,133,3284,19705
SUNSHINE COAST,SYDNEY,Aug-84,3493,87,837,5726
SYDNEY,TOWNSVILLE,Aug-84,8369,92,1690,9586
SYDNEY,WAGGA WAGGA,Aug-84,4675,138,367,7094
ADELAIDE,ALICE SPRINGS,Sep-84,13601,125,1316,17108
ADELAIDE,BRISBANE,Sep-84,3897,39,1622,5245
ADELAIDE,CANBERRA,Sep-84,1258,12,972,1404
ADELAIDE,DARWIN,Sep-84,2260,25,2619,3266
ADELAIDE,GOLD COAST,Sep-84,1817,20,1607,2309
ADELAIDE,MELBOURNE,Sep-84,56406,657,643,79333
ADELAIDE,PERTH,Sep-84,16602,136,2120,19978
ADELAIDE,SYDNEY,Sep-84,37840,378,1167,48204
ALBURY,SYDNEY,Sep-84,9464,191,452,11160
ALICE SPRINGS,DARWIN,Sep-84,9068,77,1305,11045
ALICE SPRINGS,SYDNEY,Sep-84,2859,31,2022,3890
BRISBANE,CAIRNS,Sep-84,4202,57,1391,5625
BRISBANE,CANBERRA,Sep-84,432,8,956,806
BRISBANE,DARWIN,Sep-84,1556,12,2852,1861
BRISBANE,MACKAY,Sep-84,300,10,797,532
BRISBANE,MELBOURNE,Sep-84,35555,361,1381,43254
BRISBANE,PERTH,Sep-84,462,5,3615,720
BRISBANE,PROSERPINE,Sep-84,8177,89,895,10033
BRISBANE,ROCKHAMPTON,Sep-84,25175,310,518,30776
BRISBANE,SYDNEY,Sep-84,103091,1001,753,138377
BRISBANE,TOWNSVILLE,Sep-84,37353,397,1112,43637
BROOME,PERTH,Sep-84,641,12,1677,776
CAIRNS,SYDNEY,Sep-84,215,2,1971,246
CANBERRA,MELBOURNE,Sep-84,29011,381,470,46418
CANBERRA,SYDNEY,Sep-84,44942,606,236,68824
COFFS HARBOUR,SYDNEY,Sep-84,5986,166,443,8551
DEVONPORT,MELBOURNE,Sep-84,6154,212,412,9737
DUBBO,SYDNEY,Sep-84,6036,162,310,8876
GOLD COAST,SYDNEY,Sep-84,37814,441,680,50825
HOBART,MELBOURNE,Sep-84,28330,387,618,40880
KALGOORLIE,PERTH,Sep-84,6444,226,538,9808
KARRATHA,PERTH,Sep-84,8482,167,1250,10819
LAUNCESTON,MELBOURNE,Sep-84,32119,604,476,46685
MELBOURNE,BURNIE,Sep-84,6733,232,378,9990
MELBOURNE,GOLD COAST,Sep-84,19715,167,1330,23696
MELBOURNE,MILDURA,Sep-84,3128,286,457,7191
MELBOURNE,PERTH,Sep-84,30735,277,2706,40601
MELBOURNE,SYDNEY,Sep-84,160397,1430,706,223083
PERTH,SYDNEY,Sep-84,16611,132,3284,19681
SUNSHINE COAST,SYDNEY,Sep-84,4478,105,837,6734
SYDNEY,TOWNSVILLE,Sep-84,8909,93,1690,10581
SYDNEY,WAGGA WAGGA,Sep-84,5408,163,367,8282
ADELAIDE,ALICE SPRINGS,Oct-84,12518,129,1316,16848
ADELAIDE,BRISBANE,Oct-84,3192,39,1622,4573
ADELAIDE,CANBERRA,Oct-84,1285,14,972,1462
ADELAIDE,DARWIN,Oct-84,1491,17,2619,2280
ADELAIDE,GOLD COAST,Oct-84,1368,16,1607,1636
ADELAIDE,MELBOURNE,Oct-84,58098,698,643,78938
ADELAIDE,PERTH,Oct-84,17742,142,2120,21428
ADELAIDE,SYDNEY,Oct-84,36880,367,1167,47282
ALBURY,SYDNEY,Oct-84,9610,185,452,11400
ALICE SPRINGS,DARWIN,Oct-84,8120,78,1305,11063
ALICE SPRINGS,SYDNEY,Oct-84,2323,30,2022,3658
BRISBANE,CAIRNS,Oct-84,1085,17,1391,1492
BRISBANE,CANBERRA,Oct-84,473,9,956,950
BRISBANE,DARWIN,Oct-84,518,4,2852,576
BRISBANE,MACKAY,Oct-84,259,9,797,480
BRISBANE,MELBOURNE,Oct-84,29833,331,1381,37907
BRISBANE,PERTH,Oct-84,358,4,3615,576
BRISBANE,PROSERPINE,Oct-84,7175,90,895,9330
BRISBANE,ROCKHAMPTON,Oct-84,22706,290,518,28347
BRISBANE,SYDNEY,Oct-84,102016,994,753,141886
BRISBANE,TOWNSVILLE,Oct-84,35255,401,1112,43525
BROOME,PERTH,Oct-84,453,8,1677,550
CAIRNS,SYDNEY,Oct-84,145,1,1971,144
CANBERRA,MELBOURNE,Oct-84,32384,402,470,50521
CANBERRA,SYDNEY,Oct-84,47900,641,236,72686
COFFS HARBOUR,SYDNEY,Oct-84,6249,157,443,8137
DARWIN,SYDNEY,Oct-84,141,2,3155,288
DEVONPORT,MELBOURNE,Oct-84,4887,184,412,9256
DUBBO,SYDNEY,Oct-84,6591,154,310,8218
GOLD COAST,SYDNEY,Oct-84,34913,389,680,44250
HOBART,MELBOURNE,Oct-84,26895,338,618,36101
KALGOORLIE,PERTH,Oct-84,6929,245,538,10250
KARRATHA,PERTH,Oct-84,6987,151,1250,9230
LAUNCESTON,MELBOURNE,Oct-84,31514,610,476,44386
MELBOURNE,BURNIE,Oct-84,5979,220,378,10100
MELBOURNE,GOLD COAST,Oct-84,15354,136,1330,17487
MELBOURNE,MILDURA,Oct-84,3724,354,457,9598
MELBOURNE,PERTH,Oct-84,26959,263,2706,36284
MELBOURNE,SYDNEY,Oct-84,172413,1534,706,240464
PERTH,SYDNEY,Oct-84,15195,123,3284,18241
SUNSHINE COAST,SYDNEY,Oct-84,3754,89,837,5595
SYDNEY,TOWNSVILLE,Oct-84,6491,78,1690,8104
SYDNEY,WAGGA WAGGA,Oct-84,5649,168,367,8598
ADELAIDE,ALICE SPRINGS,Nov-84,11882,114,1316,15552
ADELAIDE,BRISBANE,Nov-84,2531,34,1622,4069
ADELAIDE,CANBERRA,Nov-84,1639,17,972,1895
ADELAIDE,DARWIN,Nov-84,1442,13,2619,1873
ADELAIDE,GOLD COAST,Nov-84,952,16,1607,1553
ADELAIDE,MELBOURNE,Nov-84,58096,693,643,79584
ADELAIDE,PERTH,Nov-84,15797,129,2120,18519
ADELAIDE,SYDNEY,Nov-84,33471,338,1167,42693
ALBURY,SYDNEY,Nov-84,10320,189,452,13113
ALICE SPRINGS,DARWIN,Nov-84,6870,69,1305,9942
ALICE SPRINGS,SYDNEY,Nov-84,2597,29,2022,3842
BRISBANE,CAIRNS,Nov-84,237,11,1391,584
BRISBANE,CANBERRA,Nov-84,309,8,956,815
BRISBANE,DARWIN,Nov-84,1141,12,2852,1729
BRISBANE,MACKAY,Nov-84,1630,58,797,1945
BRISBANE,MELBOURNE,Nov-84,28487,326,1381,36428
BRISBANE,PERTH,Nov-84,325,4,3615,576
BRISBANE,PROSERPINE,Nov-84,5864,85,895,8624
BRISBANE,ROCKHAMPTON,Nov-84,18425,289,518,27176
BRISBANE,SYDNEY,Nov-84,98657,983,753,137024
BRISBANE,TOWNSVILLE,Nov-84,33101,387,1112,40269
BROOME,PERTH,Nov-84,220,4,1677,268
CAIRNS,SYDNEY,Nov-84,184,2,1971,246
CANBERRA,MELBOURNE,Nov-84,33606,392,470,48009
